;mandatos
ADN;0,0
BE;1,0
CH;4,0
E;0,0
IL;1,0
JPP;0,0
L;1,0
MPTA;0,0
NC;0,0
ND;0,0
PAN;0,0
PCP-PEV;1,0
PCTP/MRPP;0,0
PPD/PSDCDS-PP;0,0
PPD/PSDCDS-PPPPM;7,0
PPM;0,0
PS;7,0
PTP;0,0
RIR;0,0
VP;0,0
